# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1       2     0.00000     0.40065     0.00000  -57.140511199  -59.660373962   -2.519862763
     1       2     0.00000     0.41548     0.00000  -57.139540272  -59.659401253   -2.519860981
     1       2     0.00000     0.43032     0.00000  -57.138623131  -59.658480177   -2.519857046
     1       2     0.00000     0.44516     0.00000  -57.137765272  -59.657615591   -2.519850318
     1       2     0.00000     0.46000     0.00000  -57.136972041  -59.656810516   -2.519838475
     1       2     0.00000     0.47484     0.00000  -57.136248616  -59.656067884   -2.519819268
     1       2     0.00000     0.48968     0.00000  -57.135599274  -59.655391948   -2.519792675
     1       2     0.00000     0.50452     0.00000  -57.135028119  -59.654788911   -2.519760791
     1       2     0.00000     0.51935     0.00000  -57.134538603  -59.654265247   -2.519726644
     1       2     0.00000     0.53419     0.00000  -57.134133884  -59.653827029   -2.519693145
     1       2     0.00000     0.54903     0.00000  -57.133816580  -59.653479159   -2.519662579
     1       2     0.00000     0.56387     0.00000  -57.133588481  -59.653224987   -2.519636506
     1       2     0.00000     0.57871     0.00000  -57.133451016  -59.653066899   -2.519615882
     1       2     0.00000     0.59355     0.00000  -57.133405038  -59.653006276   -2.519601238
     1       2     0.02285     0.59355     0.00000  -57.133369017  -59.652957521   -2.519588504
     1       2     0.04569     0.59355     0.00000  -57.133261832  -59.652726299   -2.519464467
     1       2     0.06854     0.59355     0.00000  -57.133087312  -59.651364207   -2.518276895
     1       2     0.09138     0.59355     0.00000  -57.132851581  -59.647624452   -2.514772871
     1       2     0.11423     0.59355     0.00000  -57.132562698  -59.641847513   -2.509284815
     1       2     0.13707     0.59355     0.00000  -57.132231001  -59.635517660   -2.503286659
     1       2     0.15992     0.59355     0.00000  -57.131868616  -59.629946621   -2.498078005
     1       2     0.18277     0.59355     0.00000  -57.131489173  -59.625761138   -2.494271965
     1       2     0.20561     0.59355     0.00000  -57.131107620  -59.623030508   -2.491922887
     1       2     0.22846     0.59355     0.00000  -57.130740061  -59.621501766   -2.490761705
     1       2     0.25130     0.59355     0.00000  -57.130402786  -59.620776753   -2.490373967
     1       2     0.27415     0.59355     0.00000  -57.130112486  -59.620457554   -2.490345069
     1       2     0.29699     0.59355     0.00000  -57.129885845  -59.620281228   -2.490395383
     1       2     0.31984     0.59355     0.00000  -57.129738853  -59.620169611   -2.490430758
     1       2     0.34269     0.59355     0.00000  -57.129686661  -59.620129232   -2.490442571
     1       2     0.33583     0.58168     0.00000  -57.129706783  -59.620145101   -2.490438318
     1       2     0.32898     0.56981     0.00000  -57.129768728  -59.620194294   -2.490425566
     1       2     0.32212     0.55794     0.00000  -57.129875049  -59.620279390   -2.490404341
     1       2     0.31527     0.54606     0.00000  -57.130028100  -59.620403398   -2.490375298
     1       2     0.30842     0.53419     0.00000  -57.130229835  -59.620574940   -2.490345104
     1       2     0.30156     0.52232     0.00000  -57.130481798  -59.620820567   -2.490338769
     1       2     0.29471     0.51045     0.00000  -57.130785430  -59.621193308   -2.490407878
     1       2     0.28786     0.49858     0.00000  -57.131141905  -59.621769572   -2.490627666
     1       2     0.28100     0.48671     0.00000  -57.131551799  -59.622639299   -2.491087500
     1       2     0.27415     0.47484     0.00000  -57.132015488  -59.623895468   -2.491879980
     1       2     0.26729     0.46297     0.00000  -57.132532869  -59.625623291   -2.493090423
     1       2     0.26044     0.45110     0.00000  -57.133103671  -59.627889980   -2.494786309
     1       2     0.25359     0.43923     0.00000  -57.133727222  -59.630732599   -2.497005377
     1       2     0.24673     0.42735     0.00000  -57.134402233  -59.634142952   -2.499740719
     1       2     0.23988     0.41548     0.00000  -57.135127305  -59.638049342   -2.502922037
     1       2     0.23303     0.40361     0.00000  -57.135900658  -59.642296216   -2.506395558
     1       2     0.22617     0.39174     0.00000  -57.136719962  -59.646632677   -2.509912715
     1       2     0.21932     0.37987     0.00000  -57.137582846  -59.650730465   -2.513147620
     1       2     0.21246     0.36800     0.00000  -57.138486366  -59.654251731   -2.515765366
     1       2     0.20561     0.35613     0.00000  -57.139427281  -59.656967334   -2.517540053
     1       2     0.19876     0.34426     0.00000  -57.140402099  -59.658873329   -2.518471230
     1       2     0.19190     0.33239     0.00000  -57.141407162  -59.660214129   -2.518806966
     1       2     0.18505     0.32052     0.00000  -57.142438382  -59.661336561   -2.518898178
     1       2     0.17820     0.30865     0.00000  -57.143491577  -59.662443214   -2.518951637
     1       2     0.17134     0.29677     0.00000  -57.144562223  -59.663563395   -2.519001171
     1       2     0.16449     0.28490     0.00000  -57.145645590  -59.664692808   -2.519047218
     1       2     0.15764     0.27303     0.00000  -57.146736831  -59.665827429   -2.519090598
     1       2     0.15078     0.26116     0.00000  -57.147831279  -59.667022831   -2.519191552
     1       2     0.14393     0.24929     0.00000  -57.148923605  -59.668647861   -2.519724256
     1       2     0.13707     0.23742     0.00000  -57.150008845  -59.671351301   -2.521342456
     1       2     0.13022     0.22555     0.00000  -57.151081970  -59.675621445   -2.524539475
