# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -1.08829896E+01  -1.10881441E+01  -2.05154432E-01
# Error est. for CH(vbm) CH(cbm) diff =   3.17744257E-01   3.19011315E-01   1.26705830E-03
# 1/N extrap for CH`(vbm) CH`(cbm) diff =  -1.05346217E+01  -1.04487122E+01   8.59095324E-02
# Error est. for CH`(vbm) CH`(cbm) diff =   1.16340805E+00   9.98219427E-01  -1.65188624E-01
#    Nb          CH(vbm)          CH(cbm)             diff         CH`(vbm)         CH`(cbm)            diff`
     74  -1.04665155E+01  -1.06546958E+01  -1.88180301E-01  -9.03942831E+00  -9.11326671E+00  -7.38384021E-02
     75  -1.04719726E+01  -1.06566125E+01  -1.84639909E-01  -9.05754305E+00  -9.11869455E+00  -6.11514996E-02
     76  -1.04756556E+01  -1.06641426E+01  -1.88486964E-01  -9.06848089E+00  -9.13954295E+00  -7.10620658E-02
     77  -1.04809064E+01  -1.06679973E+01  -1.87090880E-01  -9.08413241E+00  -9.15017825E+00  -6.60458372E-02
     78  -1.04873491E+01  -1.06706738E+01  -1.83324692E-01  -9.10487449E+00  -9.15837053E+00  -5.34960454E-02
     79  -1.04916523E+01  -1.06997153E+01  -2.08063030E-01  -9.11650492E+00  -9.23883621E+00  -1.22331289E-01
     80  -1.04971146E+01  -1.07033428E+01  -2.06228248E-01  -9.13384336E+00  -9.24960726E+00  -1.15763907E-01
     81  -1.05009444E+01  -1.07066193E+01  -2.05674917E-01  -9.14564321E+00  -9.25940636E+00  -1.13763145E-01
     82  -1.05084285E+01  -1.07103401E+01  -2.01911517E-01  -9.17080061E+00  -9.27003853E+00  -9.92379199E-02
     83  -1.05146236E+01  -1.07141508E+01  -1.99527166E-01  -9.19066910E+00  -9.28176135E+00  -9.10922467E-02
     84  -1.05179245E+01  -1.07180138E+01  -2.00089276E-01  -9.20214257E+00  -9.29298441E+00  -9.08418355E-02
     85  -1.05224318E+01  -1.07207705E+01  -1.98338782E-01  -9.21729271E+00  -9.30133311E+00  -8.40404049E-02
