# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      36     0.19019    -0.57574     0.00000    3.368785527    1.140219777   -2.228565750
     1      36     0.19019    -0.42735     0.00000    3.063679316    0.698835649   -2.364843667
     1      36     0.19019    -0.27897     0.00000    2.824475538    0.384898770   -2.439576768
     1      36     0.19019    -0.13058     0.00000    2.875982010    0.653430683   -2.222551326
     1      36     0.19019     0.01781     0.00000    3.043103874    0.847715586   -2.195388288
     1      36     0.31870     0.24039     0.00000    2.809466929    0.217722053   -2.591744876
     1      36     0.31870     0.38877     0.00000    3.148902474    0.812116256   -2.336786218
     1      36     0.31870     0.53716     0.00000    3.524802638    1.357092416   -2.167710221
     1      36     0.31870    -0.50155     0.00000    3.435355739    1.261137799   -2.174217941
     1      36     0.31870    -0.35316     0.00000    3.081689815    0.682546330   -2.399143485
     1      36     0.31870    -0.20477     0.00000    2.679983320    0.004435915   -2.675547405
     1      36     0.31870    -0.05639     0.00000    2.781942798    0.363068372   -2.418874427
     1      36     0.31870     0.09200     0.00000    2.744975858    0.306095008   -2.438880850
     1      36     0.44720     0.31458     0.00000    3.100740349    0.532235717   -2.568504632
     1      36    -0.58085    -0.13058     0.00000    3.343563921    1.090632294   -2.252931627
     1      36    -0.58085     0.01781     0.00000    3.396455678    1.221866985   -2.174588694
     1      36    -0.58085     0.16619     0.00000    3.310952580    1.007426750   -2.303525829
     1      36     0.44720    -0.27897     0.00000    2.996271802    0.309184521   -2.687087281
     1      36     0.44720    -0.13058     0.00000    3.046950145    0.585535907   -2.461414239
     1      36     0.44720     0.01781     0.00000    3.020138790    0.618169626   -2.401969164
     1      36     0.44720     0.16619     0.00000    3.041798788    0.524916501   -2.516882287
     1      36    -0.45234    -0.20477     0.00000    3.026311249    0.437478267   -2.588832982
     1      36    -0.45234    -0.05639     0.00000    3.038495626    0.640970563   -2.397525063
     1      36    -0.45234     0.09200     0.00000    3.050119019    0.632121819   -2.417997200
     1      36    -0.45234     0.24039     0.00000    2.978767862    0.286835210   -2.691932652
     1      36    -0.45234     0.38877     0.00000    3.259482177    0.848895891   -2.410586286
     1      36     0.57571    -0.05639     0.00000    3.371909065    1.158102909   -2.213806156
     1      36     0.57571     0.09200     0.00000    3.357955411    1.125189253   -2.232766159
     1      36    -0.45234    -0.35316     0.00000    3.196069932    0.709208546   -2.486861386
     1      36    -0.32384    -0.13058     0.00000    2.697424230    0.195609205   -2.501815025
     1      36    -0.32384     0.01781     0.00000    2.807410703    0.388440941   -2.418969762
     1      36    -0.32384     0.16619     0.00000    2.637130290   -0.004436619   -2.641566910
     1      36    -0.32384     0.31458     0.00000    3.015389687    0.537408734   -2.477980953
     1      36    -0.32384     0.46297     0.00000    3.334775530    1.118353505   -2.216422025
     1      36    -0.32384    -0.57574     0.00000    3.588128254    1.420541592   -2.167586661
     1      36    -0.32384    -0.42735     0.00000    3.242423455    0.979028413   -2.263395041
     1      36    -0.32384    -0.27897     0.00000    2.932064796    0.393957433   -2.538107363
     1      36    -0.19533    -0.05639     0.00000    2.988667874    0.774182730   -2.214485144
     1      36    -0.19533     0.09200     0.00000    2.933151262    0.718168382   -2.214982880
     1      36    -0.19533     0.24039     0.00000    2.773404396    0.384111691   -2.389292705
     1      36    -0.19533     0.38877     0.00000    2.996772299    0.565333355   -2.431438943
     1      36    -0.19533     0.53716     0.00000    3.324665799    1.069484387   -2.255181412
     1      36    -0.19533    -0.50155     0.00000    3.244784548    0.965061178   -2.279723370
     1      36    -0.19533    -0.35316     0.00000    2.941723966    0.474413776   -2.467310190
     1      36    -0.19533    -0.20477     0.00000    2.756430901    0.441242193   -2.315188708
     1      36    -0.06682     0.01781     0.00000    3.395315014    1.287906254   -2.107408760
     1      36    -0.06682     0.16619     0.00000    3.087091379    0.908047762   -2.179043618
     1      36    -0.06682     0.31458     0.00000    2.712604788    0.302669162   -2.409935626
     1      36    -0.06682     0.46297     0.00000    3.002857674    0.451175752   -2.551681923
     1      36    -0.06682    -0.57574     0.00000    3.171661885    0.653914917   -2.517746968
     1      36    -0.06682    -0.42735     0.00000    2.924249629    0.364348387   -2.559901242
