# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -1.05830933E+01  -1.02572254E+01   3.25867860E-01
# Error est. for CH(vbm) CH(cbm) diff =   7.95308758E-01   8.95153800E-01   9.98450412E-02
#    Nb          CH(vbm)          CH(cbm)             diff
     23  -2.33652391E+00  -1.70566388E+00   6.30860029E-01
     24  -2.48164534E+00  -1.83512115E+00   6.46524186E-01
     25  -2.61285221E+00  -1.97401309E+00   6.38839125E-01
     26  -2.72050612E+00  -2.13927490E+00   5.81231223E-01
     27  -2.85845523E+00  -2.29406813E+00   5.64387100E-01
     28  -2.97947048E+00  -2.43808405E+00   5.41386438E-01
     29  -3.12907071E+00  -2.58087526E+00   5.48195448E-01
     30  -3.24367949E+00  -2.70298167E+00   5.40697817E-01
     31  -3.39282457E+00  -2.83519390E+00   5.57630669E-01
     32  -3.55928453E+00  -2.96071395E+00   5.98570576E-01
     33  -3.82277832E+00  -3.07827227E+00   7.44506055E-01
     34  -4.26033505E+00  -3.23626322E+00   1.02407183E+00
     35  -4.87031598E+00  -3.47146361E+00   1.39885237E+00
     36  -6.44271404E+00  -3.66469700E+00   2.77801704E+00
     37  -6.76335174E+00  -4.83911255E+00   1.92423919E+00
     38  -7.08292062E+00  -5.35798065E+00   1.72493997E+00
     39  -7.35717509E+00  -5.88624234E+00   1.47093275E+00
     40  -7.60418807E+00  -6.20073219E+00   1.40345588E+00
     41  -7.67958023E+00  -6.37226821E+00   1.30731203E+00
     42  -7.80532325E+00  -6.59504123E+00   1.21028202E+00
     43  -7.86207289E+00  -6.72173020E+00   1.14034269E+00
     44  -7.90439328E+00  -6.81831200E+00   1.08608128E+00
     45  -7.94967215E+00  -6.88614328E+00   1.06352886E+00
     46  -7.98703954E+00  -6.92895472E+00   1.05808482E+00
     47  -8.02116682E+00  -6.99155650E+00   1.02961032E+00
     48  -8.05540006E+00  -7.04061732E+00   1.01478274E+00
     49  -8.09774292E+00  -7.09280593E+00   1.00493699E+00
     50  -8.13258496E+00  -7.13814277E+00   9.94442189E-01
     51  -8.16875778E+00  -7.18035404E+00   9.88403740E-01
     52  -8.20816388E+00  -7.22786640E+00   9.80297484E-01
     53  -8.24584774E+00  -7.26956514E+00   9.76282601E-01
     54  -8.28251649E+00  -7.31319820E+00   9.69318297E-01
     55  -8.32719065E+00  -7.36053549E+00   9.66655163E-01
     56  -8.37038527E+00  -7.40737043E+00   9.63014839E-01
     57  -8.40152351E+00  -7.44892052E+00   9.52602997E-01
     58  -8.43516263E+00  -7.49452547E+00   9.40637164E-01
     59  -8.47076263E+00  -7.53629489E+00   9.34467740E-01
     60  -8.50114272E+00  -7.57417595E+00   9.26966772E-01
     61  -8.53345208E+00  -7.60845006E+00   9.25002025E-01
     62  -8.56379474E+00  -7.64582154E+00   9.17973197E-01
     63  -8.59852207E+00  -7.68033840E+00   9.18183673E-01
     64  -8.62769884E+00  -7.70807161E+00   9.19627226E-01
     65  -8.65663151E+00  -7.73920160E+00   9.17429906E-01
     66  -8.67782120E+00  -7.76905538E+00   9.08765822E-01
     67  -8.70132467E+00  -7.80087920E+00   9.00445475E-01
     68  -8.72333762E+00  -7.82999993E+00   8.93337690E-01
     69  -8.74624476E+00  -7.86026721E+00   8.85977557E-01
     70  -8.76680344E+00  -7.88402754E+00   8.82775903E-01
     71  -8.78913250E+00  -7.90991488E+00   8.79217619E-01
     72  -8.81107807E+00  -7.93657988E+00   8.74498195E-01
     73  -8.82830371E+00  -7.95781456E+00   8.70489149E-01
     74  -8.84611098E+00  -7.97671063E+00   8.69400346E-01
     75  -8.86475368E+00  -7.99735345E+00   8.67400237E-01
     76  -8.87915509E+00  -8.01806881E+00   8.61086282E-01
     77  -8.89430794E+00  -8.03647820E+00   8.57829734E-01
     78  -8.91206818E+00  -8.05556914E+00   8.56499044E-01
     79  -8.92832182E+00  -8.07442620E+00   8.53895616E-01
     80  -8.94525884E+00  -8.09067983E+00   8.54579012E-01
     81  -8.96129002E+00  -8.10685434E+00   8.54435681E-01
     82  -8.97646896E+00  -8.12110918E+00   8.55359774E-01
     83  -8.99208034E+00  -8.13636533E+00   8.55715018E-01
     84  -9.00835043E+00  -8.15295554E+00   8.55394888E-01
     85  -9.02208457E+00  -8.16821693E+00   8.53867638E-01
     86  -9.03736306E+00  -8.18559725E+00   8.51765816E-01
     87  -9.05197147E+00  -8.19948492E+00   8.52486556E-01
     88  -9.06631126E+00  -8.21375820E+00   8.52553058E-01
     89  -9.07944238E+00  -8.22893290E+00   8.50509479E-01
     90  -9.09353428E+00  -8.24367486E+00   8.49859415E-01
     91  -9.10613160E+00  -8.25831030E+00   8.47821306E-01
     92  -9.12057617E+00  -8.27466749E+00   8.45908674E-01
     93  -9.13558811E+00  -8.28908187E+00   8.46506246E-01
     94  -9.14786156E+00  -8.30266928E+00   8.45192278E-01
     95  -9.15899277E+00  -8.31576124E+00   8.43231523E-01
     96  -9.17206866E+00  -8.33015426E+00   8.41914403E-01
     97  -9.18559138E+00  -8.34359571E+00   8.41995668E-01
     98  -9.19814836E+00  -8.35689897E+00   8.41249383E-01
     99  -9.21193702E+00  -8.37003025E+00   8.41906769E-01
    100  -9.22578038E+00  -8.38415187E+00   8.41628510E-01
    101  -9.23891933E+00  -8.39825838E+00   8.40660949E-01
    102  -9.25309813E+00  -8.41166488E+00   8.41433255E-01
    103  -9.26522385E+00  -8.42491156E+00   8.40312289E-01
    104  -9.27752057E+00  -8.43847864E+00   8.39041929E-01
    105  -9.28853284E+00  -8.45136901E+00   8.37163829E-01
    106  -9.30100965E+00  -8.46324642E+00   8.37763239E-01
    107  -9.31279039E+00  -8.47440878E+00   8.38381606E-01
    108  -9.32322243E+00  -8.48618300E+00   8.37039431E-01
    109  -9.33499123E+00  -8.49856412E+00   8.36427111E-01
    110  -9.34647245E+00  -8.51003805E+00   8.36434405E-01
    111  -9.35626763E+00  -8.52119292E+00   8.35074703E-01
    112  -9.36575885E+00  -8.53156011E+00   8.34198744E-01
    113  -9.37544326E+00  -8.54208491E+00   8.33358348E-01
    114  -9.38455857E+00  -8.55241150E+00   8.32147071E-01
    115  -9.39413932E+00  -8.56234135E+00   8.31797973E-01
    116  -9.40379478E+00  -8.57219662E+00   8.31598160E-01
    117  -9.41325954E+00  -8.58126830E+00   8.31991233E-01
    118  -9.42231542E+00  -8.59045239E+00   8.31863027E-01
    119  -9.43143715E+00  -8.59995368E+00   8.31483466E-01
    120  -9.44136453E+00  -8.61019943E+00   8.31165102E-01
    121  -9.45145592E+00  -8.62052843E+00   8.30927493E-01
    122  -9.46235646E+00  -8.63039443E+00   8.31962037E-01
    123  -9.47197020E+00  -8.64010847E+00   8.31861730E-01
    124  -9.48105570E+00  -8.64925649E+00   8.31799214E-01
    125  -9.48884795E+00  -8.65812444E+00   8.30723502E-01
    126  -9.49783184E+00  -8.66728840E+00   8.30543446E-01
    127  -9.50626957E+00  -8.67660317E+00   8.29666391E-01
    128  -9.51541741E+00  -8.68542878E+00   8.29988630E-01
    129  -9.52398174E+00  -8.69422537E+00   8.29756372E-01
    130  -9.53226227E+00  -8.70268013E+00   8.29582145E-01
    131  -9.54037488E+00  -8.71133617E+00   8.29038713E-01
    132  -9.54852860E+00  -8.72000408E+00   8.28524521E-01
    133  -9.55607687E+00  -8.72753557E+00   8.28541291E-01
    134  -9.56417014E+00  -8.73594377E+00   8.28226374E-01
    135  -9.57142282E+00  -8.74371865E+00   8.27704169E-01
    136  -9.57904657E+00  -8.75143960E+00   8.27606972E-01
    137  -9.58600533E+00  -8.75853182E+00   8.27473507E-01
    138  -9.59370977E+00  -8.76635061E+00   8.27359165E-01
    139  -9.60151869E+00  -8.77412428E+00   8.27394410E-01
    140  -9.60848422E+00  -8.78104902E+00   8.27435197E-01
    141  -9.61614058E+00  -8.78857043E+00   8.27570151E-01
    142  -9.62286362E+00  -8.79557876E+00   8.27284857E-01
    143  -9.63042367E+00  -8.80304262E+00   8.27381046E-01
    144  -9.63722141E+00  -8.80968012E+00   8.27541291E-01
    145  -9.64428152E+00  -8.81661973E+00   8.27661787E-01
    146  -9.65066660E+00  -8.82286539E+00   8.27801204E-01
    147  -9.65743866E+00  -8.82969890E+00   8.27739754E-01
    148  -9.66436271E+00  -8.83639315E+00   8.27969558E-01
    149  -9.67061111E+00  -8.84343847E+00   8.27172647E-01
    150  -9.67682141E+00  -8.84969505E+00   8.27126361E-01
    151  -9.68296683E+00  -8.85634640E+00   8.26620426E-01
    152  -9.68961574E+00  -8.86329304E+00   8.26322701E-01
    153  -9.69546092E+00  -8.86911923E+00   8.26341682E-01
    154  -9.70151124E+00  -8.87499698E+00   8.26514265E-01
    155  -9.70787377E+00  -8.88083543E+00   8.27038340E-01
    156  -9.71410268E+00  -8.88735149E+00   8.26751195E-01
    157  -9.71995626E+00  -8.89340442E+00   8.26551843E-01
    158  -9.72613967E+00  -8.89956517E+00   8.26574501E-01
    159  -9.73275302E+00  -8.90549702E+00   8.27256000E-01
    160  -9.73824453E+00  -8.91103342E+00   8.27211114E-01
    161  -9.74419135E+00  -8.91652417E+00   8.27667183E-01
    162  -9.75039391E+00  -8.92239680E+00   8.27997107E-01
    163  -9.75702654E+00  -8.92819403E+00   8.28832511E-01
    164  -9.76338934E+00  -8.93384696E+00   8.29542384E-01
    165  -9.76915237E+00  -8.93914372E+00   8.30008650E-01
    166  -9.77527707E+00  -8.94563439E+00   8.29642677E-01
    167  -9.78085168E+00  -8.95066610E+00   8.30185579E-01
    168  -9.78653166E+00  -8.95560500E+00   8.30926657E-01
    169  -9.79191306E+00  -8.96075217E+00   8.31160891E-01
    170  -9.79703677E+00  -8.96555757E+00   8.31479198E-01
    171  -9.80227225E+00  -8.97052540E+00   8.31746850E-01
    172  -9.80753425E+00  -8.97513851E+00   8.32395741E-01
    173  -9.81272451E+00  -8.98049116E+00   8.32233350E-01
    174  -9.81815223E+00  -8.98531188E+00   8.32840344E-01
    175  -9.82318132E+00  -8.98983639E+00   8.33344925E-01
    176  -9.82824109E+00  -8.99554451E+00   8.32696582E-01
    177  -9.83317146E+00  -9.00033533E+00   8.32836122E-01
    178  -9.83830486E+00  -9.00550788E+00   8.32796981E-01
    179  -9.84329642E+00  -9.01039486E+00   8.32901554E-01
    180  -9.84813919E+00  -9.01518992E+00   8.32949269E-01
    181  -9.85286529E+00  -9.02001418E+00   8.32851109E-01
