# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      35     0.10709     0.23495     0.00000    2.614221626    1.942031486   -0.672190140
     1      35     0.10709     0.25968     0.00000    2.546900845    1.856419312   -0.690481533
     1      35     0.10709     0.28441     0.00000    2.462185220    1.772638370   -0.689546850
     1      35     0.10709     0.30914     0.00000    2.365862778    1.635630226   -0.730232552
     1      35     0.10709     0.33387     0.00000    2.265184437    1.538795234   -0.726389203
     1      35     0.10709     0.35860     0.00000    2.169732371    1.506709949   -0.663022422
     1      35     0.10709     0.38333     0.00000    2.101016462    1.518436738   -0.582579724
     1      35     0.10709     0.40806     0.00000    2.083493881    1.841408343   -0.242085538
     1      35     0.10709     0.43280     0.00000    2.104161466    1.909411863   -0.194749603
     1      35     0.10709     0.45753     0.00000    2.145596918    1.956016306   -0.189580612
     1      35     0.10709     0.48226     0.00000    2.198090540    2.016904448   -0.181186092
     1      35     0.10709     0.50699     0.00000    2.253932995    2.068813698   -0.185119297
     1      35     0.10709     0.53172     0.00000    2.305511406    2.110441701   -0.195069706
     1      35     0.10709     0.55645     0.00000    2.345340701    2.149652268   -0.195688433
     1      35     0.10709     0.58118     0.00000    2.367102267    2.180288360   -0.186813907
     1      35     0.10709     0.60591     0.00000    2.367102335    2.180299059   -0.186803276
     1      35     0.10709     0.63065     0.00000    2.345340897    2.149667069   -0.195673828
     1      35     0.10709     0.65538     0.00000    2.305511719    2.110458133   -0.195053586
     1      35     0.10709     0.68011     0.00000    2.253933400    2.068830660   -0.185102740
     1      35     0.10709     0.70484     0.00000    2.198091005    2.016922227   -0.181168778
     1      35     0.10709     0.72957     0.00000    2.145597406    1.956033958   -0.189563448
     1      35     0.10709     0.75430     0.00000    2.104161902    1.909429106   -0.194732796
     1      35     0.10709     0.77903     0.00000    2.083494080    1.841421803   -0.242072277
     1      35     0.10709     0.80376     0.00000    2.101015989    1.518426725   -0.582589263
     1      35     0.10709     0.82849     0.00000    2.169731267    1.506694290   -0.663036977
     1      35     0.10709     0.85323     0.00000    2.265183226    1.538778309   -0.726404917
     1      35     0.10709     0.87796     0.00000    2.365861654    1.635614067   -0.730247587
     1      35     0.10709     0.90269     0.00000    2.462184268    1.772621728   -0.689562540
     1      35     0.10709     0.92742     0.00000    2.546900111    1.856401338   -0.690498773
     1      35     0.10709     0.95215     0.00000    2.614221086    1.942014809   -0.672206277
     1      35     0.10709     0.97688     0.00000    2.664830484    2.067631723   -0.597198761
     1      35     0.12851     0.22258     0.00000    2.634068590    1.967828250   -0.666240341
     1      35     0.12851     0.24731     0.00000    2.589401197    1.884176948   -0.705224249
     1      35     0.12851     0.27204     0.00000    2.523881006    1.688931878   -0.834949128
     1      35     0.12851     0.29677     0.00000    2.440199313    1.485255831   -0.954943481
     1      35     0.12851     0.32151     0.00000    2.344857842    1.474748446   -0.870109397
     1      35     0.12851     0.34624     0.00000    2.244535396    1.573054658   -0.671480738
     1      35     0.12851     0.37097     0.00000    2.152725556    1.769313143   -0.383412413
     1      35     0.12851     0.39570     0.00000    2.109602220    1.963758773   -0.145843447
     1      35     0.12851     0.42043     0.00000    2.122241729    1.989023471   -0.133218258
     1      35     0.12851     0.44516     0.00000    2.160178503    1.994924853   -0.165253650
     1      35     0.12851     0.46989     0.00000    2.211533701    2.118656981   -0.092876720
     1      35     0.12851     0.49462     0.00000    2.269223791    2.239637457   -0.029586334
     1      35     0.12851     0.51935     0.00000    2.326169331    2.230458706   -0.095710625
     1      35     0.12851     0.54409     0.00000    2.374744516    2.212542461   -0.162202055
     1      35     0.12851     0.56882     0.00000    2.407599609    2.307623535   -0.099976074
     1      35     0.12851     0.59355     0.00000    2.419237401    2.382462407   -0.036774994
     1      35     0.12851     0.61828     0.00000    2.407599738    2.307631477   -0.099968261
     1      35     0.12851     0.64301     0.00000    2.374744766    2.212557485   -0.162187281
     1      35     0.12851     0.66774     0.00000    2.326169683    2.230478518   -0.095691166
     1      35     0.12851     0.69247     0.00000    2.269224222    2.239659669   -0.029564552
     1      35     0.12851     0.71720     0.00000    2.211534181    2.118677475   -0.092856706
     1      35     0.12851     0.74194     0.00000    2.160178988    1.994942878   -0.165236110
     1      35     0.12851     0.76667     0.00000    2.122242126    1.989041095   -0.133201030
     1      35     0.12851     0.79140     0.00000    2.109602192    1.963772678   -0.145829514
     1      35     0.12851     0.81613     0.00000    2.152724507    1.769312556   -0.383411952
     1      35     0.12851     0.84086     0.00000    2.244534062    1.573041991   -0.671492071
     1      35     0.12851     0.86559     0.00000    2.344856577    1.474738775   -0.870117803
     1      35     0.12851     0.89032     0.00000    2.440198198    1.485251063   -0.954947135
     1      35     0.12851     0.91505     0.00000    2.523880084    1.688921957   -0.834958127
     1      35     0.12851     0.93979     0.00000    2.589400493    1.884163580   -0.705236913
     1      35     0.14992     0.25968     0.00000    2.545759667    1.603700223   -0.942059444
     1      35     0.14992     0.28441     0.00000    2.480844627    1.472797167   -1.008047460
     1      35     0.14992     0.30914     0.00000    2.398982503    1.384582747   -1.014399756
     1      35     0.14992     0.33387     0.00000    2.305124188    1.408325549   -0.896798640
     1      35     0.14992     0.35860     0.00000    2.206592050    1.972113631   -0.234478419
     1      35     0.14992     0.38333     0.00000    2.133326724    2.029181148   -0.104145576
     1      35     0.14992     0.40806     0.00000    2.135176684    2.063496285   -0.071680400
     1      35     0.14992     0.43280     0.00000    2.170298755    2.101331222   -0.068967534
     1      35     0.14992     0.45753     0.00000    2.220562146    2.206649503   -0.013912643
     1      35     0.14992     0.48226     0.00000    2.279586437    2.283612419    0.004025981
     1      35     0.14992     0.50699     0.00000    2.341143309    2.344818389    0.003675080
     1      35     0.14992     0.53172     0.00000    2.397895629    2.391093499   -0.006802130
     1      35     0.14992     0.55645     0.00000    2.441883794    2.429415805   -0.012467990
     1      35     0.14992     0.58118     0.00000    2.466012688    2.461899235   -0.004113453
     1      35     0.14992     0.60591     0.00000    2.466012748    2.461900312   -0.004112436
     1      35     0.14992     0.63065     0.00000    2.441883972    2.429420126   -0.012463846
     1      35     0.14992     0.65538     0.00000    2.397895908    2.391113773   -0.006782135
     1      35     0.14992     0.68011     0.00000    2.341143672    2.344841553    0.003697881
     1      35     0.14992     0.70484     0.00000    2.279586866    2.283635722    0.004048856
     1      35     0.14992     0.72957     0.00000    2.220562607    2.206671963   -0.013890644
     1      35     0.14992     0.75430     0.00000    2.170299207    2.101349874   -0.068949333
     1      35     0.14992     0.77903     0.00000    2.135177008    2.063514255   -0.071662752
     1      35     0.14992     0.80376     0.00000    2.133326241    2.029196137   -0.104130104
     1      35     0.14992     0.82849     0.00000    2.206590693    1.972124422   -0.234466270
     1      35     0.14992     0.85323     0.00000    2.305122842    1.408324318   -0.896798524
     1      35     0.14992     0.87796     0.00000    2.398981294    1.384580442   -1.014400852
     1      35     0.14992     0.90269     0.00000    2.480843583    1.472794980   -1.008048604
     1      35     0.17134     0.29677     0.00000    2.418049319    1.381927550   -1.036121769
     1      35     0.17134     0.32151     0.00000    2.338406410    1.365763663   -0.972642747
     1      35     0.17134     0.34624     0.00000    2.246382837    1.697306187   -0.549076649
     1      35     0.17134     0.37097     0.00000    2.155826147    2.030136120   -0.125690027
     1      35     0.17134     0.39570     0.00000    2.142212762    2.079727724   -0.062485038
     1      35     0.17134     0.42043     0.00000    2.175976901    2.118731258   -0.057245644
     1      35     0.17134     0.44516     0.00000    2.225541565    2.203472586   -0.022068979
     1      35     0.17134     0.46989     0.00000    2.285602959    2.298824285    0.013221326
